GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
3400321480,060,34,003,35620,408,99999,999,Englewood city,27147,10695,26203,9614,27147,26203,12292,11134,8845,10215,147,71,2199,1366,12,12,2641,2226,1011,1179
3400321510,060,34,003,35620,408,99999,999,Englewood Cliffs borough,5281,1924,5322,1889,5281,5322,2976,3557,110,73,4,2,2034,1580,0,0,41,38,116,72
3400322470,060,34,003,35620,408,99999,999,Fair Lawn borough,32457,12266,31637,12006,32457,31637,27380,28960,567,234,20,13,3154,1558,1,1,762,434,573,437
3400322560,060,34,003,35620,408,99999,999,Fairview borough,13835,5150,13255,4988,13835,13255,9186,9605,407,226,92,51,640,659,4,4,2720,1712,786,998
3400324420,060,34,003,35620,408,99999,999,Fort Lee borough,35345,17818,35461,17446,35345,35461,18905,22253,973,615,50,25,13587,11146,7,20,1090,600,733,802
3400324990,060,34,003,35620,408,99999,999,Franklin Lakes borough,10590,3692,10422,3395,10590,10422,9417,9521,149,96,4,11,777,660,0,1,88,43,155,90
3400325770,060,34,003,35620,408,99999,999,Garfield city,30487,11788,29786,11698,30487,29786,23393,24456,1981,887,132,99,678,800,2,2,3307,2414,994,1128
3400326640,060,34,003,35620,408,99999,999,Glen Rock borough,11601,4016,11546,4024,11601,11546,10111,10399,159,209,10,18,1054,748,3,2,72,71,192,99
3400328680,060,34,003,35620,408,99999,999,Hackensack city,43010,19375,42677,18945,43010,42677,20072,22451,10511,10518,241,191,4432,3181,10,23,5844,4144,1900,2169
3400330150,060,34,003,35620,408,99999,999,Harrington Park borough,4664,1624,4740,1583,4664,4740,3720,3959,32,32,1,2,813,695,9,0,24,30,65,22
3400330420,060,34,003,35620,408,99999,999,Hasbrouck Heights borough,11842,4627,11662,4617,11842,11662,9632,10247,339,200,9,5,1183,776,2,1,436,255,241,178
3400330540,060,34,003,35620,408,99999,999,Haworth borough,3382,1136,3390,1146,3382,3390,2860,2981,39,41,0,0,402,312,0,0,16,25,65,31
3400331920,060,34,003,35620,408,99999,999,Hillsdale borough,10219,3567,10087,3547,10219,10087,9138,9321,103,86,12,7,640,512,5,4,211,87,110,70
3400372480,060,34,003,35620,408,99999,999,Teterboro borough,67,27,18,8,67,18,45,15,3,0,2,0,2,0,0,0,6,0,9,3
3400332310,060,34,003,35620,408,99999,999,Ho-Ho-Kus borough,4078,1462,4060,1465,4078,4060,3753,3762,9,24,3,4,236,212,0,8,16,15,61,35
3400340020,060,34,003,35620,408,99999,999,Leonia borough,8937,3428,8914,3343,8937,8914,4935,5860,209,202,14,8,3139,2323,1,1,332,285,307,235
3400340680,060,34,003,35620,408,99999,999,Little Ferry borough,10626,4439,10800,4449,10626,10800,6458,7426,419,509,32,16,2576,1847,4,6,749,621,388,375
