GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
3400353850,060,34,003,35620,408,99999,999,Oakland borough,12754,4470,12466,4345,12754,12466
3400354870,060,34,003,35620,408,99999,999,Old Tappan borough,5750,1995,5482,1804,5750,5482
3400354990,060,34,003,35620,408,99999,999,Oradell borough,7978,2831,8047,2833,7978,8047
3400355770,060,34,003,35620,408,99999,999,Palisades Park borough,19622,7362,17073,6386,19622,17073
3400355950,060,34,003,35620,408,99999,999,Paramus borough,26342,8915,25737,8209,26342,25737
3400356130,060,34,003,35620,408,99999,999,Park Ridge borough,8645,3428,8708,3258,8645,8708
3400361680,060,34,003,35620,408,99999,999,Ramsey borough,14473,5550,14351,5400,14473,14351
3400362910,060,34,003,35620,408,99999,999,Ridgefield borough,11032,4145,10830,4120,11032,10830
3400362940,060,34,003,35620,408,99999,999,Ridgefield Park village,12729,5164,12873,5134,12729,12873
3400363000,060,34,003,35620,408,99999,999,Ridgewood village,24958,8743,24936,8802,24958,24936
3400363360,060,34,003,35620,408,99999,999,River Edge borough,11340,4261,10946,4210,11340,10946
3400363690,060,34,003,35620,408,99999,999,River Vale township,9659,3521,9449,3312,9659,9449
3400363990,060,34,003,35620,408,99999,999,Rochelle Park township,5530,2170,5528,2111,5530,5528
3400364170,060,34,003,35620,408,99999,999,Rockleigh borough,531,86,391,80,531,391
3400365280,060,34,003,35620,408,99999,999,Rutherford borough,18061,7278,18110,7214,18061,18110
3400365340,060,34,003,35620,408,99999,999,Saddle Brook township,13659,5485,13155,5161,13659,13155
3400365400,060,34,003,35620,408,99999,999,Saddle River borough,3152,1341,3201,1183,3152,3201
3400368970,060,34,003,35620,408,99999,999,South Hackensack township,2378,879,2249,830,2378,2249
3400372360,060,34,003,35620,408,99999,999,Teaneck township,39776,14024,39260,13719,39776,39260
3400372420,060,34,003,35620,408,99999,999,Tenafly borough,14488,4980,13806,4897,14488,13806
3400375140,060,34,003,35620,408,99999,999,Upper Saddle River borough,8208,2776,7741,2560,8208,7741
3400376400,060,34,003,35620,408,99999,999,Waldwick borough,9625,3537,9622,3495,9625,9622
3400376490,060,34,003,35620,408,99999,999,Wallington borough,11335,4946,11583,4906,11335,11583
3400377135,060,34,003,35620,408,99999,999,Washington township,9102,3341,8938,3245,9102,8938
3400380270,060,34,003,35620,408,99999,999,Westwood borough,10908,4636,10999,4610,10908,10999
3400382300,060,34,003,35620,408,99999,999,Woodcliff Lake borough,5730,1980,5745,1842,5730,5745
3400382570,060,34,003,35620,408,99999,999,Wood-Ridge borough,7626,3051,7644,3087,7626,7644
3400383050,060,34,003,35620,408,99999,999,Wyckoff township,16696,5827,16508,5638,16696,16508
3400900000,060,34,009,36140,999,99999,999,County subdivisions not defined,0,0,0,0,0,0
3400503370,060,34,005,37980,428,99999,999,Bass River township,1443,587,1510,602,1443,1510
